step_id_,used_rsf,max_rsf,win
1645_31,1.184394839021542,1.285612729412366,0
1645_32,1.0212606535249467,1.1845754867862082,0
1645_33,1.073799676623709,1.1372942211730777,0
1645_34,1.1583426730016508,1.1583426730016508,1
1645_35,1.0067745473446554,1.1597296209370584,0
1645_36,1.1139427939740985,1.226109486200112,0
1645_37,1.3202352313348487,1.398490703918033,0
1645_38,1.0851014973899968,1.3229813568354503,0
1645_39,1.02166195326691,1.1428770160131811,0
1645_4,1.0861866109462222,1.0861866109462222,1
1645_40,0.8694296757516814,1.635150601010943,0
1645_41,0.8117900041617465,0.8985803312207702,0
1645_42,0.9481005751529079,1.5371259921470042,0
1645_43,0.7739793180390339,1.0371406992007361,0
1645_44,0.539043690316612,0.868834464301636,0
1645_45,0.48605741347880316,0.8293149278749629,0
1645_46,0.5480784647781746,0.5480784647781746,1
1645_47,0.544615323972187,0.6349323544690634,0
1645_48,0.5392079507254836,1.255373883244859,0
1645_49,0.5544247424457764,0.6254829527967016,0
1645_5,0.8005562821341554,1.1601712810401086,0
1645_6,1.131782121752593,1.131782121752593,1
1645_7,0.9344362024815193,1.143283506744641,0
1645_8,0.8008449548787611,0.934831187416802,0
1645_9,0.7583369959585521,0.8484961286712549,0
1646_1,0.6164219909921823,0.8972868863079932,0
1646_2,0.5727448694557687,0.6272256921231008,0
1646_3,0.6109520862074934,0.6109520862074934,1
1647_1,0.84225653082884,0.9387520756801504,0
1647_2,0.8429123003486914,1.0481835150653498,0
1647_3,0.8363154268234096,0.8610356882496785,0
1647_4,0.7809629159299805,0.9820030926102468,0
1648_1,1.7038214652240173,1.7038214652240173,1
1648_10,1.7434252763184839,1.7615745566165444,0
1648_11,1.7701532690305828,1.7701532690305828,1
1648_12,1.714371192359847,1.7917918712267056,0
1648_13,1.6191595186337484,1.7939385543167097,0
1648_14,1.5147188019137483,1.7144023772385102,0
1648_15,1.596435658927268,1.596435658927268,1
1648_16,1.705343127238123,1.8131720608140813,0
1648_17,1.0704193233465793,2.0333059911865448,0
1648_18,0.6235314614764156,1.2767455142290385,0
1648_19,0.9047835959985043,1.1730476164965167,0
1648_2,1.7453224096578142,1.8734164786598575,0
1648_20,0.9247213560142313,0.9551575102506302,0
1648_21,0.875769873589597,1.170083234849025,0
1648_22,1.17114396791304,1.17114396791304,1
1648_23,1.3045467105992818,1.3946792975083955,0
1648_24,1.7473849352967346,1.7473849352967346,1
1648_25,1.4011812380422781,2.052821184901736,0
1648_26,1.6032027164904479,1.8582526941439144,0
1648_27,1.9166890749321737,1.9166890749321737,1
1648_28,1.4405410754085506,1.9187533641297152,0
1648_29,1.7303856421790669,1.9545051219937315,0
1648_3,1.7715650271482744,1.8172753789674723,0
1648_30,1.7825831738038247,1.7825831738038247,1
1648_31,1.318753868727229,1.8034785486332887,0
1648_32,1.3238136079670413,1.5757620364128422,0
1648_33,1.3946222474255383,1.4336556594502807,0
1648_34,1.3205854044885235,1.649454968141797,0
1648_35,1.415670392822858,1.8806066729838273,0
1648_36,0.9081969769028011,1.8079285655589457,0
1648_37,1.6694294785605617,1.6694294785605617,1
1648_38,0.9536018868442007,1.6965186908231114,0
1648_39,0.8731950158552017,1.143243552630485,0
1648_4,1.7123106920959421,1.8701841956359013,0
1648_40,1.019836806085883,1.098150948125239,0
1648_41,0.9349835547476717,1.0343897688136485,0
1648_42,0.8894435034619194,1.015903421909587,0
1648_43,0.8376392977252896,0.9387971498508106,0
1648_44,0.9070528287837204,0.9299981677980902,0
1648_45,0.7429936363608631,1.1001036698078135,0
1648_46,1.0930847769672982,1.2476174144420389,0
1648_47,1.840711731546797,1.840711731546797,1
1648_48,1.6315853466087016,2.1813043822138303,0
1648_49,1.7951196348036444,1.7951196348036444,1
1648_5,1.710157601866722,1.7138876827351952,0
1648_50,1.2504780138774159,1.8053801193708556,0
1648_51,1.7624090412310671,1.7624090412310671,1
1648_52,1.7252285270073255,1.768369230748545,0
1648_53,1.7015559657477792,1.8769678257102316,0
1648_54,1.7097045970672593,1.7781594601842612,0
1648_55,1.7033716492416537,1.7103813384596376,0
1648_56,1.7592398362335337,1.7739555257433781,0
1648_57,1.7201236065928482,1.7592438815018558,0
1648_58,1.7696244657826308,1.7696244657826308,1
1648_59,1.7019930385707551,1.7745738810093938,0
1648_6,1.7292599798828878,1.7673020533667956,0
1648_60,1.6069914151670899,1.7245884517469887,0
1648_61,1.5875640227391534,2.2329665446470983,0
1648_62,1.5584044071407428,1.718335605825695,0
1648_63,1.8269795617958438,1.8269795617958438,1
1648_64,1.6012521305197573,1.8430894027072313,0
1648_65,1.477344864599693,1.6776706132341894,0
1648_66,1.541461541658058,1.5777258567497738,0
1648_67,1.508489163745972,1.644967278743161,0
1648_68,1.4969670336368261,1.7632206959036671,0
1648_69,1.510216387840541,1.5862964792728436,0
1648_7,1.7285871287794303,1.8621757604957268,0
1648_70,1.4996890547091748,1.5135312373467198,0
1648_71,1.4803225851653663,1.6402382010792476,0
1648_72,1.5352715438970823,1.5606848832910132,0
1648_73,1.6736329729638337,1.767600619276662,0
1648_74,1.371330787972478,1.6798803162577696,0
1648_75,1.4387244798075882,1.5730642837898527,0
1648_76,1.5696165590985551,1.848788727097118,0
1648_77,1.5784259586004152,1.6820863030825433,0
1648_78,1.635238376355208,1.872123381356355,0
1648_79,1.6841307016034746,1.6841307016034746,1
1648_8,1.7554094853951014,1.7554094853951014,1
1648_80,1.65512329625842,1.8182229971163792,0
