cluster_id,collar_id,species,timestamp,lon,lat,geometry
1,353336355b308106,Loxodonta africana,NA,26.55862,-33.62743,NA
1,353336355b308106,Loxodonta africana,NA,26.52789,-33.64203,NA
1,353336355b308106,Loxodonta africana,NA,26.56722,-33.63727,NA
1,353336355b308106,Loxodonta africana,NA,26.59025,-33.61131,NA
1,353336355b308106,Loxodonta africana,NA,26.60512,-33.61413,NA
1,353336355b308106,Loxodonta africana,NA,26.57939,-33.61938,NA
1,353336355b308106,Loxodonta africana,NA,26.51755,-33.61327,NA
1,353336355b308106,Loxodonta africana,NA,26.57032,-33.62553,NA
1,353336355b308106,Loxodonta africana,NA,26.56383,-33.62727,NA
1,353336355b308106,Loxodonta africana,NA,26.55603,-33.62941,NA
1,353336355b308106,Loxodonta africana,NA,26.5534,-33.63539,NA
1,353336355b308106,Loxodonta africana,NA,26.58367,-33.61067,NA
1,353336355b308106,Loxodonta africana,NA,26.55722,-33.63191,NA
1,353336355b308106,Loxodonta africana,NA,26.57926,-33.60521,NA
1,353336355b308106,Loxodonta africana,NA,26.55188,-33.63747,NA
1,353336355b308106,Loxodonta africana,NA,26.56526,-33.62543,NA
1,353336355b308106,Loxodonta africana,NA,26.59423,-33.61481,NA
1,353336355b308106,Loxodonta africana,NA,26.54938,-33.63556,NA
1,353336355b308106,Loxodonta africana,NA,26.59946,-33.59772,NA
1,353336355b308106,Loxodonta africana,NA,26.5549,-33.61899,NA
1,353336355b308106,Loxodonta africana,NA,26.56952,-33.63162,NA
1,353336355b308106,Loxodonta africana,NA,26.52831,-33.61385,NA
1,353336355b308106,Loxodonta africana,NA,26.58146,-33.62577,NA
1,353336355b308106,Loxodonta africana,NA,26.58043,-33.61753,NA
1,353336355b308106,Loxodonta africana,NA,26.50542,-33.63979,NA
1,353336355b308106,Loxodonta africana,NA,26.55765,-33.62407,NA
1,353336355b308106,Loxodonta africana,NA,26.52009,-33.63775,NA
1,353336355b308106,Loxodonta africana,NA,26.59406,-33.60178,NA
1,353336355b308106,Loxodonta africana,NA,26.5689,-33.60077,NA
1,353336355b308106,Loxodonta africana,NA,26.60046,-33.61464,NA
1,353336355b308106,Loxodonta africana,NA,26.56395,-33.58109,NA
1,353336355b308106,Loxodonta africana,NA,26.54517,-33.62122,NA
1,353336355b308106,Loxodonta africana,NA,26.59736,-33.61668,NA
1,353336355b308106,Loxodonta africana,NA,26.51784,-33.56557,NA
1,353336355b308106,Loxodonta africana,NA,26.53887,-33.63979,NA
1,353336355b308106,Loxodonta africana,NA,26.58453,-33.60664,NA
1,353336355b308106,Loxodonta africana,NA,26.568,-33.63431,NA
1,353336355b308106,Loxodonta africana,NA,26.54915,-33.6372,NA
1,353336355b308106,Loxodonta africana,NA,26.53391,-33.63902,NA
1,353336355b308106,Loxodonta africana,NA,26.52105,-33.63807,NA
1,353336355b308106,Loxodonta africana,NA,26.55457,-33.62001,NA
1,353336355b308106,Loxodonta africana,NA,26.55325,-33.61429,NA
1,353336355b308106,Loxodonta africana,NA,26.53465,-33.64135,NA
1,353336355b308106,Loxodonta africana,NA,26.59903,-33.60582,NA
1,353336355b308106,Loxodonta africana,NA,26.54514,-33.63661,NA
1,353336355b308106,Loxodonta africana,NA,26.5347,-33.63834,NA
1,353336355b308106,Loxodonta africana,NA,26.55647,-33.62369,NA
1,353336355b308106,Loxodonta africana,NA,26.59417,-33.59482,NA
1,353336355b308106,Loxodonta africana,NA,26.57839,-33.62288,NA
1,353336355b308106,Loxodonta africana,NA,26.58761,-33.61734,NA
1,353336355b308106,Loxodonta africana,NA,26.56883,-33.60534,NA
1,353336355b308106,Loxodonta africana,NA,26.55327,-33.59053,NA
1,353336355b308106,Loxodonta africana,NA,26.5461,-33.62002,NA
1,353336355b308106,Loxodonta africana,NA,26.55784,-33.62205,NA
1,353336355b308106,Loxodonta africana,NA,26.57434,-33.60962,NA
1,353336355b308106,Loxodonta africana,NA,26.50583,-33.56507,NA
1,353336355b308106,Loxodonta africana,NA,26.57828,-33.62367,NA
1,353336355b308106,Loxodonta africana,NA,26.58158,-33.61694,NA
1,353336355b308106,Loxodonta africana,NA,26.55947,-33.62357,NA
1,353336355b308106,Loxodonta africana,NA,26.49503,-33.62028,NA
1,353336355b308106,Loxodonta africana,NA,26.594,-33.58911,NA
1,353336355b308106,Loxodonta africana,NA,26.56622,-33.62115,NA
1,353336355b308106,Loxodonta africana,NA,26.58977,-33.60192,NA
1,353336355b308106,Loxodonta africana,NA,26.60466,-33.61509,NA
1,353336355b308106,Loxodonta africana,NA,26.51119,-33.56284,NA
1,353336355b308106,Loxodonta africana,NA,26.55686,-33.63105,NA
1,353336355b308106,Loxodonta africana,NA,26.55534,-33.62161,NA
1,353336355b308106,Loxodonta africana,NA,26.57,-33.60271,NA
1,353336355b308106,Loxodonta africana,NA,26.57802,-33.62592,NA
1,353336355b308106,Loxodonta africana,NA,26.60156,-33.61225,NA
1,353336355b308106,Loxodonta africana,NA,26.50442,-33.62835,NA
1,353336355b308106,Loxodonta africana,NA,26.58444,-33.61512,NA
1,353336355b308106,Loxodonta africana,NA,26.50179,-33.5899,NA
1,353336355b308106,Loxodonta africana,NA,26.55704,-33.62707,NA
1,353336355b308106,Loxodonta africana,NA,26.56672,-33.61319,NA
1,353336355b308106,Loxodonta africana,NA,26.51867,-33.64105,NA
1,353336355b308106,Loxodonta africana,NA,26.50496,-33.57682,NA
1,353336355b308106,Loxodonta africana,NA,26.50756,-33.56435,NA
1,353336355b308106,Loxodonta africana,NA,26.50631,-33.58675,NA
1,353336355b308106,Loxodonta africana,NA,26.53932,-33.6376,NA
1,353336355b308106,Loxodonta africana,NA,26.52375,-33.62525,NA
1,353336355b308106,Loxodonta africana,NA,26.52413,-33.63812,NA
1,353336355b308106,Loxodonta africana,NA,26.51411,-33.56441,NA
1,353336355b308106,Loxodonta africana,NA,26.56449,-33.61043,NA
1,353336355b308106,Loxodonta africana,NA,26.52722,-33.63958,NA
1,353336355b308106,Loxodonta africana,NA,26.5655,-33.63886,NA
1,353336355b308106,Loxodonta africana,NA,26.50388,-33.62237,NA
1,353336355b308106,Loxodonta africana,NA,26.60906,-33.61722,NA
1,353336355b308106,Loxodonta africana,NA,26.55433,-33.61572,NA
1,353336355b308106,Loxodonta africana,NA,26.56737,-33.57413,NA
1,353336355b308106,Loxodonta africana,NA,26.5532,-33.63056,NA
1,353336355b308106,Loxodonta africana,NA,26.57334,-33.62495,NA
1,353336355b308106,Loxodonta africana,NA,26.60086,-33.6056,NA
1,353336355b308106,Loxodonta africana,NA,26.54819,-33.61738,NA
1,353336355b308106,Loxodonta africana,NA,26.52944,-33.63413,NA
1,353336355b308106,Loxodonta africana,NA,26.56517,-33.62371,NA
1,353336355b308106,Loxodonta africana,NA,26.5366,-33.63311,NA
1,353336355b308106,Loxodonta africana,NA,26.51567,-33.59097,NA
1,353336355b308106,Loxodonta africana,NA,26.59972,-33.61529,NA
1,353336355b308106,Loxodonta africana,NA,26.59328,-33.60215,NA
1,353336355b308106,Loxodonta africana,NA,26.55255,-33.61895,NA
1,353336355b308106,Loxodonta africana,NA,26.59241,-33.5984,NA
